0,0,7.38e-09
100,0,7.33e-09
200,0,6.3e-09
300,0,5.95e-09
400,0,2.4e-09
500,0,-1.39e-09
600,0,-4.21e-09
700,0,-5.37e-09
800,0,-7.68e-09
900,0,-9.55e-09
1000,0,-1.109e-08
1100,0,-1.147e-08
1200,0,-7.86e-09
1300,0,-8.12e-09
1400,0,-7.08e-09
1500,0,-7.11e-09
1600,0,-6.26e-09
1700,0,-4.58e-09
1800,0,-3.87e-09
1900,0,-3.5e-09
2000,0,-3.32e-09
2100,0,-1.27e-09
2200,0,1.32e-09
2300,0,-2.3e-10
2400,0,-4.86e-09
2500,0,-7.78e-09
2600,0,-4.4e-09
2700,0,2.1e-09
2800,0,7.75e-09
2900,0,5.5e-09
3000,0,3.18e-09
3100,0,3.08e-09
3200,0,2.36e-09
3300,0,2.96e-09
3400,0,2.28e-09
3500,0,8.1e-10
3600,0,-3.42e-09
3700,0,-6.47e-09
3800,0,-4.81e-09
3900,0,-3.63e-09
4000,0,-4.07e-09
0,100,5.75e-09
100,100,5.7e-09
200,100,4.46e-09
300,100,3.3e-09
400,100,-1.4e-10
500,100,-4.33e-09
600,100,-6.07e-09
700,100,-4.15e-09
800,100,-2.61e-09
900,100,-5.33e-09
1000,100,-1.033e-08
1100,100,-1.235e-08
1200,100,-1.092e-08
1300,100,-1.168e-08
1400,100,-1.014e-08
1500,100,-1.225e-08
1600,100,-1.259e-08
1700,100,-9.89e-09
1800,100,-7.12e-09
1900,100,-3.68e-09
2000,100,-4.11e-09
2100,100,-1.21e-09
2200,100,1.15e-09
2300,100,-1.73e-09
2400,100,-4.41e-09
2500,100,-5.55e-09
2600,100,-5.17e-09
2700,100,-2.17e-09
2800,100,1.38e-09
2900,100,2.9e-10
3000,100,2.9e-10
3100,100,4.08e-09
3200,100,5.03e-09
3300,100,4.74e-09
3400,100,5.27e-09
3500,100,2.45e-09
3600,100,-1.8e-09
3700,100,-4.16e-09
3800,100,-6.54e-09
3900,100,-9.24e-09
4000,100,-8.17e-09
0,200,6.97e-09
100,200,5.5e-09
200,200,1.68e-09
300,200,-1.72e-09
400,200,-3.83e-09
500,200,-6.45e-09
600,200,-7.01e-09
700,200,-3.94e-09
800,200,-1.41e-09
900,200,-3.61e-09
1000,200,-6.18e-09
1100,200,-8.54e-09
1200,200,-1.359e-08
1300,200,-1.326e-08
1400,200,-9.74e-09
